file_month,n_filed,n_serial,n_default
2018-01-01,1298,184,602
2018-02-01,1136,174,395
2018-03-01,1079,174,695
2018-04-01,1069,152,546
2018-05-01,1165,122,566
2018-06-01,1182,133,544
2018-07-01,1457,144,664
2018-08-01,1224,154,437
2018-09-01,1269,139,629
2018-10-01,1260,140,71
2018-11-01,1077,104,502
2018-12-01,1108,106,637
2019-01-01,1224,132,607
2019-02-01,1052,114,472
2019-03-01,996,121,480
2019-04-01,1108,156,123
2019-05-01,1264,181,710
2019-06-01,1271,155,557
2019-07-01,1398,193,732
2019-08-01,1267,186,192
2019-09-01,1263,143,539
2019-10-01,1341,212,679
2019-11-01,1106,181,502
2019-12-01,1163,206,548
2020-01-01,1368,217,566
2020-02-01,1268,253,541
2020-03-01,618,124,207
2020-04-01,49,2,1
2020-05-01,540,60,203
2020-06-01,572,64,213
2020-07-01,537,35,219
2020-08-01,848,78,240
2020-09-01,1137,100,425
2020-10-01,1067,81,155
2020-11-01,1126,78,244
2020-12-01,1031,78,108
2021-01-01,1170,205,246
2021-02-01,759,135,160
2021-03-01,1189,224,393
2021-04-01,861,101,237
2021-05-01,362,44,112
